hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
116, 0.00000, 31.9857, 24.0409, 24.4049, 20.6737, 30.3277, 10.0449, 0, 0
116, 1800.00000, 36.4539, 22.2458, 24.4096, 28.9834, 29.3628, 4.06798, 0, 0
117, 0.00000, 33.6129, 20.4373, 26.9994, 23.6814, 29.4079, 10.6313, 0, 0
117, 1800.00000, 30.163, 20.7861, 20.6504, 30.4606, 23.2807, 3.89464, 0, 0
118, 0.00000, 24.0796, 19.6554, 18.8522, 25.8534, 19.9869, 9.25683, 0, 0
118, 1800.00000, 25.6333, 25.6397, 16.454, 24.9414, 22.7086, 4.83942, 0, 0
119, 0.00000, 22.2821, 24.6462, 13.9098, 28.06, 18.6844, 3.08438, 0, 0
119, 1800.00000, 16.3823, 22.9506, 14.6714, 16.6829, 17.0351, 14.9804, 0, 0
120, 0.00000, 14.2587, 28.416, 11.6064, 12.7583, 16.0016, 13.0445, 0, 0
120, 1800.00000, 12.3991, 29.5565, 10.9619, 9.40478, 15.079, 15.2799, 0, 0
121, 0.00000, 8.75381, 26.9009, 6.95449, 15.4316, 9.29029, 12.11, 0, 0
121, 1800.00000, 9.03032, 23.1416, 6.09239, 27.0919, 7.56592, 5.06085, 0, 0
122, 0.00000, 8.3831, 23.2384, 5.88075, 25.185, 7.26021, 6.66318, 0, 0
122, 1800.00000, 9.14838, 28.027, 5.2247, 25.3152, 8.1976, 2.52942, 0, 0
123, 0.00000, 8.20603, 25.8314, 5.22944, 24.8645, 7.28403, 4.71667, 0, 0
123, 1800.00000, 8.33666, 23.7453, 5.89024, 24.0724, 7.39095, 7.21409, 0, 0
124, 0.00000, 9.0156, 20.7514, 7.43482, 22.1853, 8.16468, 11.7418, 0, 0
124, 1800.00000, 9.30868, 24.0857, 5.85099, 28.7446, 7.67943, 2.90246, 0, 0
125, 0.00000, 9.92171, 18.1047, 8.18698, 25.6401, 8.15576, 10.8722, 0, 0
125, 1800.00000, 13.4529, 19.7458, 10.4459, 26.0856, 11.1189, 8.94517, 0, 0
126, 0.00000, 14.431, 22.7122, 10.4131, 24.8351, 12.5293, 7.46227, 0, 0
126, 1800.00000, 18.9633, 23.86, 13.8555, 22.6037, 17.2946, 8.49015, 0, 0
127, 0.00000, 27.926, 31.8725, 13.5363, 23.5337, 26.1775, 0.586567, 0, 0
127, 1800.00000, 27.3929, 29.8102, 15.2878, 22.6693, 25.6856, 3.06558, 0, 0
128, 0.00000, 23.6985, 27.457, 12.829, 29.6586, 20.0711, 0.211786, 0, 0
128, 1800.00000, 26.074, 29.8973, 14.1516, 26.2695, 23.5206, 2.51748, 0, 0
129, 0.00000, 24.8712, 28.656, 16.334, 23.5848, 23.3135, 8.10102, 0, 0
129, 1800.00000, 16.2936, 26.3528, 14.6874, 23.177, 16.2868, 19.9373, 0, 0
130, 0.00000, 10.6645, 43.7855, 9.08453, 23.3147, 12.8121, 28.1329, 0, 0
130, 1800.00000, 9.09267, 55.0949, 6.36951, 36.7062, 9.99649, 33.6969, 0, 0
131, 0.00000, 11.5812, 41.0993, 8.18645, 45.3868, 9.71448, 25.2319, 0, 0
131, 1800.00000, 12.5568, 31.1877, 9.25948, 42.8865, 9.42294, 18.4075, 0, 0
132, 0.00000, 6.42303, 68.0872, 3.74191, 82.5413, 4.64774, 43.1625, 0, 0
132, 1800.00000, 4.53686, 99.696, 3.34033, 72.1846, 5.5151, 76.9215, 0, 0
