hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
111, 1800.00000, 24.3853, 28.0799, 16.3961, 18.9314, 24.0701, 7.60764, 0, 0
112, 0.00000, 28.3214, 28.1054, 17.061, 22.9061, 26.246, 4.26882, 0, 0
112, 1800.00000, 25.2336, 18.6485, 21.4856, 23.6337, 21.8412, 12.3826, 0, 0
113, 0.00000, 28.7962, 15.8812, 21.849, 32.9422, 19.6513, 5.20733, 0, 0
113, 1800.00000, 39.5035, 19.1939, 31.8354, 25.2947, 33.0728, 10.3051, 0, 0
114, 0.00000, 46.0433, 20.7996, 32.4477, 29.0449, 36.426, 5.2669, 0, 0
114, 1800.00000, 43.6082, 22.7785, 31.7377, 24.4391, 38.1959, 7.82429, 0, 0
115, 0.00000, 42.1802, 20.4255, 29.043, 30.7531, 32.2487, 3.86164, 0, 0
115, 1800.00000, 33.0709, 21.7301, 24.6458, 24.9455, 28.4491, 8.21222, 0, 0
116, 0.00000, 31.9857, 24.0409, 24.4049, 20.6737, 30.3277, 10.0449, 0, 0
116, 1800.00000, 36.4588, 22.2362, 24.4173, 28.9846, 29.3625, 4.06777, 0, 0
117, 0.00000, 33.6129, 20.4373, 26.9994, 23.6814, 29.4079, 10.6313, 0, 0
117, 1800.00000, 30.1678, 20.7751, 20.6578, 30.4612, 23.2806, 3.89445, 0, 0
118, 0.00000, 24.0796, 19.6554, 18.8522, 25.8534, 19.9869, 9.25683, 0, 0
118, 1800.00000, 25.6333, 25.6397, 16.454, 24.9414, 22.7086, 4.83942, 0, 0
119, 0.00000, 22.2864, 24.631, 13.917, 28.0618, 18.6843, 3.08419, 0, 0
119, 1800.00000, 16.3823, 22.9506, 14.6714, 16.6829, 17.0351, 14.9804, 0, 0
120, 0.00000, 14.2587, 28.416, 11.6073, 12.7543, 16.0028, 13.0458, 0, 0
120, 1800.00000, 12.4136, 29.5584, 10.9617, 9.40454, 15.0894, 15.2408, 0, 0
121, 0.00000, 8.76083, 26.9037, 6.95446, 15.4316, 9.29554, 12.081, 0, 0
121, 1800.00000, 9.03032, 23.1416, 6.09239, 27.0919, 7.56592, 5.06085, 0, 0
122, 0.00000, 8.3831, 23.2384, 5.88075, 25.185, 7.26021, 6.66318, 0, 0
122, 1800.00000, 9.14838, 28.027, 5.2247, 25.3152, 8.1976, 2.52942, 0, 0
123, 0.00000, 8.20603, 25.8314, 5.22944, 24.8645, 7.28403, 4.71667, 0, 0
123, 1800.00000, 8.33666, 23.7453, 5.89024, 24.0724, 7.39095, 7.21409, 0, 0
124, 0.00000, 9.0156, 20.7514, 7.43482, 22.1853, 8.16468, 11.7418, 0, 0
124, 1800.00000, 9.3157, 24.0906, 5.85096, 28.7447, 7.68539, 2.87398, 0, 0
125, 0.00000, 9.92171, 18.1047, 8.18698, 25.6401, 8.15577, 10.8722, 0, 0
125, 1800.00000, 13.4529, 19.7458, 10.4459, 26.0856, 11.1189, 8.94517, 0, 0
126, 0.00000, 14.431, 22.7122, 10.4131, 24.8351, 12.5293, 7.46227, 0, 0
126, 1800.00000, 18.9704, 23.8629, 13.8597, 22.5805, 17.3069, 8.48415, 0, 0
127, 0.00000, 27.926, 31.8725, 13.5363, 23.5337, 26.1775, 0.586567, 0, 0
127, 1800.00000, 27.4314, 29.7602, 15.341, 22.5633, 25.7422, 3.07887, 0, 0
128, 0.00000, 23.9745, 27.3057, 12.9592, 29.3817, 20.3334, 0.0052682, 0, 0
128, 1800.00000, 27.3042, 28.9543, 14.8816, 25.3782, 24.6249, 1.7217, 0, 0
129, 0.00000, 27.3738, 26.4249, 18.0739, 22.3945, 25.3675, 6.2606, 0, 0
129, 1800.00000, 21.0933, 21.3885, 18.3453, 19.51, 20.4168, 13.809, 0, 0
130, 0.00000, 19.4857, 25.7018, 15.6521, 16.7223, 20.1497, 12.1683, 0, 0
130, 1800.00000, 20.4207, 27.4907, 14.3427, 18.4759, 20.3276, 8.68979, 0, 0
131, 0.00000, 22.5044, 24.1852, 15.4174, 24.642, 19.8202, 6.30639, 0, 0
131, 1800.00000, 20.3744, 20.7569, 14.7481, 27.7589, 16.4693, 6.4424, 0, 0
132, 0.00000, 16.3841, 21.7247, 11.8655, 26.2091, 13.7568, 7.05609, 0, 0
132, 1800.00000, 14.9358, 17.9528, 13.6832, 21.5786, 13.5652, 15.0973, 0, 0
133, 0.00000, 15.3477, 20.5592, 12.4033, 23.2574, 13.558, 10.9143, 0, 0
133, 1800.00000, 14.0882, 13.0735, 13.6087, 24.7797, 11.3409, 16.7282, 0, 0
134, 0.00000, 15.9518, 16.6083, 13.4296, 26.6924, 12.611, 11.2062, 0, 0
134, 1800.00000, 20.063, 16.2957, 14.704, 34.2906, 13.4378, 3.43451, 0, 0
135, 0.00000, 19.4511, 17.9202, 14.2933, 31.4818, 14.132, 5.09852, 0, 0
135, 1800.00000, 22.9802, 18.4445, 17.9374, 27.6231, 18.1497, 8.49376, 0, 0
136, 0.00000, 25.4838, 22.3596, 20.2956, 21.424, 23.6486, 10.9732, 0, 0
